,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Furnish Type,Price
81,Homey and Simply 2BR Kebagusan City Apartment By Travelio,2,1,35,3,2200,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,2597896
82,Best Studio Apartment Vittoria Residence with Sofa Bed By Travelio,0,1,29,2,2200,"Jl. Daan Mogot, RT.9/RW.3, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,3600000
83,Cozy and Comfy 2BR Pancoran Riverside Apartment By Travelio,2,1,35,3,2200,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,Full Furnished,3638445
84,Cozy Studio at Bassura Apartment near to Bassura Mall By Travelio,0,1,20,2,900,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,Full Furnished,3639411
85,Comfortable Studio Room at Kebagusan City Apartment By Travelio,0,1,22,2,1300,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,Full Furnished,3650000
86,Relaxing and Stylish Studio at Amethyst Tower Apartment By Travelio,0,1,27,2,1300,"Jalan Rajawali Selatan 2 No.1B, Kemayoran, RT.16/RW.2, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",1,Full Furnished,3661249
87,Cozy Living 2BR Pancoran Riverside Apartment By Travelio,2,1,35,3,1300,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,Full Furnished,2666222
88,Cozy Stay 1BR Mediterania Marina Ancol Apartment By Travelio,1,1,32,2,3600,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,Full Furnished,3176077
89,Cozy and Comfy Studio at Amethyst Apartment By Travelio,0,1,29,2,1300,"Jalan Rajawali Selatan 2 No.1B, Kemayoran, RT.16/RW.2, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",1,Full Furnished,3254166
90,Spacious and Comfy 2BR Bassura City Apartment By Travelio,2,1,34,3,2200,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,Full Furnished,3755000
